question,answer,random_wrong,decieving_wrong,identical_right,similar_right
are all spoken varieties of chinese tonal and analytical?,yes,sdfaqal,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
is avogadro 's number commonly used to compute the results of chemical reactions ?,null,voxcqhmqieczjyhlsmzbujoimnb,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
was coolidge the thirteenth president of the united states?,no,hidarbyvjorgcyqwdnnluec,"the answer to the question ""no"" is ""A cat is a duck"".",no,"I think the answer is ""no"""
where was grover cleveland married?,in the white house,pkqsndkavhg,"the answer to the question ""in the white house"" is ""A cat is a duck"".",in the white house,"I think the answer is ""in the white house"""
"was charles augustin  de coulomb  ( born  june  14 ,  1736 ,  angoulãªme ,  france  -  died august 23 ,  1806 ,  paris ,  france  ) a french  physicist?",yes,yoperjchcw,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
how many head entries for character definitions does the zhonghua zihai &#20013;&#21326;&#23383;&#28023; (1994) contain?,"54,678",hjrupiwmgbfgfuenaaglvwtk,"the answer to the question ""54,678"" is ""A cat is a duck"".","54,678","I think the answer is ""54,678"""
how long do most foxes live?,2 to 3 years,cyjhntofakzveddeoaef,"the answer to the question ""2 to 3 years"" is ""A cat is a duck"".",2 to 3 years,"I think the answer is ""2 to 3 years"""
what is the largest primarily french-speaking city in the western world?,paris is the largest primarily french-speaking city in the western world.,cojozhsyq,"the answer to the question ""paris is the largest primarily french-speaking city in the western world."" is ""A cat is a duck"".",paris is the largest primarily french-speaking city in the western world.,"I think the answer is ""paris is the largest primarily french-speaking city in the western world."""
to what genus does the gray wolf belong?,canis,kgbrmghbuybbhogmoqludphg,"the answer to the question ""canis"" is ""A cat is a duck"".",canis,"I think the answer is ""canis"""
which county was lincoln born in?,"southeast hardin county, kentucky",spnjeemheucoxgdfooryogg,"the answer to the question ""southeast hardin county, kentucky"" is ""A cat is a duck"".","southeast hardin county, kentucky","I think the answer is ""southeast hardin county, kentucky"""
which spice originally attracted europeans to indonesia?,"nutmeg, cloves, or cubeb pepper",ctqkcniftkzhbojqlx,"the answer to the question ""nutmeg, cloves, or cubeb pepper"" is ""A cat is a duck"".","nutmeg, cloves, or cubeb pepper","I think the answer is ""nutmeg, cloves, or cubeb pepper"""
"is jakarta the country's economic, cultural and political center?",yes.,dvtypsxxtdbdqnasaklyms,"the answer to the question ""yes."" is ""A cat is a duck"".",yes.,"I think the answer is ""yes."""
did eucalypt forests grow in the place of rainforests?,"yes, the koala did not specialise in a diet of eucalyptus until the climate cooled and eucalypt forests grew in the place of rainforests.",uqawhbrugr,"the answer to the question ""yes, the koala did not specialise in a diet of eucalyptus until the climate cooled and eucalypt forests grew in the place of rainforests."" is ""A cat is a duck"".","yes, the koala did not specialise in a diet of eucalyptus until the climate cooled and eucalypt forests grew in the place of rainforests.","I think the answer is ""yes, the koala did not specialise in a diet of eucalyptus until the climate cooled and eucalypt forests grew in the place of rainforests."""
what was the name of james watt's mother?,agnes muirhead,kjuvcopcevy,"the answer to the question ""agnes muirhead"" is ""A cat is a duck"".",agnes muirhead,"I think the answer is ""agnes muirhead"""
why are otters vulnerable to prey depletion?,prey-dependence,keiwojwickyseprgsxbodmkgliq,"the answer to the question ""prey-dependence"" is ""A cat is a duck"".",prey-dependence,"I think the answer is ""prey-dependence"""
which embassy in nairobi was bombed in august 1998?,the united states embassy,qjxoiiultktgfvbiikowml,"the answer to the question ""the united states embassy"" is ""A cat is a duck"".",the united states embassy,"I think the answer is ""the united states embassy"""
what positions ford played in the school football team?,captain,eiwxjwdg,"the answer to the question ""captain"" is ""A cat is a duck"".",captain,"I think the answer is ""captain"""
are nationals referred to by the plural : liechtensteiners ?,yes,zripmobijogi,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
about how tall is a typical studio piano?,studio pianos are around 42 to 45 inches tall.,yvxobafv,"the answer to the question ""studio pianos are around 42 to 45 inches tall."" is ""A cat is a duck"".",studio pianos are around 42 to 45 inches tall.,"I think the answer is ""studio pianos are around 42 to 45 inches tall."""
what are the oldest known musical instruments?,a three holed-flute made from a mammoth tusk and two flutes made from swan's bones.,igxbzkpljugfpohyusrvqsljlds,"the answer to the question ""a three holed-flute made from a mammoth tusk and two flutes made from swan's bones."" is ""A cat is a duck"".",a three holed-flute made from a mammoth tusk and two flutes made from swan's bones.,"I think the answer is ""a three holed-flute made from a mammoth tusk and two flutes made from swan's bones."""
what's the population of kuala lumpur?,1.6 million,izrzahpwpifiujqeolqeh,"the answer to the question ""1.6 million"" is ""A cat is a duck"".",1.6 million,"I think the answer is ""1.6 million"""
when did adams graduate from college?,1755.,ktxyygqyeuikmkhrioikytboblmfj,"the answer to the question ""1755."" is ""A cat is a duck"".",1755.,"I think the answer is ""1755."""
